what are bigos?	["Stew"]	["Polish food"]
what type of government does brazil have 2011?	["Brazilian Labour Renewal Party"]	["Presidential system", "Federal republic", "Constitutional republic"]
who was president after franklin d. roosevelt?	["Harry S. Truman"]	["John Nance Garner", "Harry S. Truman", "Henry A. Wallace"]
what are the seven nations of central america?	["Honduras", "El Salvador", "Panama", "Costa Rica", "Guatemala", "Gran Colombia", "Belize"]	["Americas"]
what type of government did soviet union have?	["Communist state"]	["Communist state", "Socialist state", "Soviet democracy"]
what are the eight stages of erikson's theory?	["Youth and the life cycle"]	["Developmental psychology"]
who was the soviet leader during world war ii?	["Alexei Negmatov"]	["Jamiat-e Islami"]
what kind of leukemia did jill clayburgh have?	["B-cell chronic lymphocytic leukemia"]	["Leukemia", "B-cell chronic lymphocytic leukemia"]
when did the big earthquake hit san francisco?	["1906 San Francisco earthquake"]	["2002 San Francisco Black Film Festival", "1934 West Coast waterfront strike", "1906 San Francisco earthquake", "San Francisco-West Texas A&M 1955 NCAA Men's Division I Basketball Tournament Game", "2010 Tour of California", "Panama\u2013Pacific International Exposition", "2009 Folsom Street Fair", "2006 Folsom Street Fair", "2003 Folsom Street Fair", "2004 Folsom Street Fair", "2007 Folsom Street Fair", "2008 Folsom Street Fair", "2005 Folsom Street Fair", "2011 Folsom Street Fair", "2010 Folsom Street Fair", "2011 Up Your Alley Fair", "1958 NCAA Men's Division I Basketball Tournament- West Regional Finals", "Seattle-California 1958 NCAA Men's Division I Basketball Tournament Game", "1958 NCAA Men's Division I Basketball Tournament", "White Night riots", "1955 NCAA Men's Division I Basketball Tournament", "1959 NCAA Men's Division I Basketball Tournament", "1960 NCAA Men's Division I Basketball Tournament", "1920 Democratic National Convention", "2000 San Francisco International Lesbian and Gay Film Festival", "1959 NCAA Men's Division I Basketball Tournament- West Regional Semifinals", "California-Utah 1959 NCAA Men's Division I Basketball Tournament Game", "St. Mary's-Idaho State 1959 NCAA Men's Division I Basketball Tournament Game", "2012 Shnit International Short Film Festival", "1939 NCAA Men's Division I Basketball Tournament- West Regional Quarterfinals", "1960 NCAA Men's Division I Basketball Tournament- West Regional Quarterfinals", "1939 NCAA Men's Division I Basketball Tournament- West Regional Semifinals", "1939 NCAA Men's Division I Basketball Tournament", "California-Idaho State 1960 NCAA Men's Division I Basketball Tournament Game", "Zodiac Killings", "1964 Republican National Convention", "2011 San Francisco International Asian American Film Festival", "Golden Dragon massacre", "1958 NCAA Men's Division I Basketball Tournament- West Regional Semifinals", "1982 Gay Games", "1986 Gay Games", "101 California Street shooting", "1984 Democratic National Convention", "2009 Leather Week", "Preparedness Day Bombing", "1956 Republican National Convention", "Web 2.0 Conference (2004)", "WWDC 2012", "March 2012 Apple Product Launch Event", "Oregon-Texas 1939 NCAA Men's Division I Basketball Tournament Game", "Oregon-Oklahoma 1939 NCAA Men's Division I Basketball Tournament Game", "Moscone\u2013Milk assassinations", "Oklahoma-Utah State 1939 NCAA Men's Division I Basketball Tournament Game", "2010 Berlin & Beyond Film Festival", "Seattle-San Francisco 1958 NCAA Men's Division I Basketball Tournament Game", "Seattle-Idaho State 1955 NCAA Men's Division I Basketball Tournament Game", "2011 Legacy Film Festival on Aging", "1955 NCAA Men's Division I Basketball Tournament- West Regional First Round", "California-St. Mary's 1959 NCAA Men's Division I Basketball Tournament Game", "California-Idaho State 1958 NCAA Men's Division I Basketball Tournament Game", "24th GLAAD Media Awards", "1959 NCAA Men's Division I Basketball Tournament- West Regional Finals", "2003 San Francisco International LGBT Film Festival", "2012 World Series"]
where is isthmus of panama located on the map?	["Costa Rica", "Colombia"]	["South America"]
who led the campaign in the shenandoah valley?	["Jackson's Valley Campaign"]	["Kingdom of Great Britain", "Ottoman Empire", "French First Republic"]
where is the phillies spring training stadium?	["Philadelphia"]	["Citizens Bank Park"]
what is the government system of saudi arabia?	["Absolute monarchy", "Islamic state", "Unitary state"]	["Absolute monarchy", "Unitary state", "Islamic state"]
what percent of americans have college degree?	["Why Race Mattered in Barack Obama's Re-election"]	["English Language", "Spanish Language", "American English"]
what are aristotle's contributions to science?	["Politics", "Ethics", "Aesthetics", "Metaphysics"]	["Aristotle University of Thessaloniki", "Aristoteles", "Aristotle", "Aristotle's lantern"]
what makes the film so popular back in london?	["Cambridge"]	["The Stepford Wives", "42nd Grammy Awards", "VH1 Divas Live '99", "Thank You Billy Graham", "Faith Hill: When the Lights Go Down", "Party Tyme Karaoke: Country Hits 2", "Live 8: Rome", "m.0h0zn58"]
what inventions did thomas edison invent list?	["Phonograph", "Carbon microphone", "Mimeograph", "Quadruplex telegraph", "Electric power distribution", "Movie camera", "Incandescent light bulb", "Phonograph cylinder"]	["Incandescent light bulb", "Phonograph cylinder", "Electric power distribution", "Phonograph", "Quadruplex telegraph", "Carbon microphone", "Mimeograph", "Movie camera"]
who plays london tipton in suite life on deck?	["Brenda Song"]	["Brenda Song"]
who was sir walter raleigh and what did he do?	["Poet", "Courtier", "Sailor", "Writer", "Soldier"]	["Poet", "Writer", "Sailor", "Soldier", "Courtier"]
what type of government does russia have 2010?	["Semi-presidential system", "Constitutional republic", "Republic", "Federation"]	["Federal republic", "Constitutional republic", "Semi-presidential system"]
what form of government does north korea have?	["Single-party state", "Socialist state", "People's Republic", "Juche", "Unitary state"]	["Family dictatorship", "Single-party state", "Juche", "Totalitarianism"]
what are the major languages spoken in greece?	["Albanian language", "Greek Language"]	["Greek Language", "Albanian language"]
what are the religions practiced in indonesia?	["Protestantism", "Hinduism", "Catholicism", "Islam"]	["Hinduism", "Catholicism", "Islam", "Protestantism"]
who does the voice for chucky in child's play?	["Brad Dourif"]	["Brad Dourif", "Edan Gross", "John Franklin"]
where are yamaha outboard motors manufactured?	["Shizuoka Prefecture"]	["Yamaha outboard motors"]
where did the israel palestine conflict start?	["1936\u201339 Arab revolt in Palestine"]	["Israel", "West Bank", "Gaza Strip", "Palestinian territories"]
what does a dream deferred by langston hughes?	["Dreams and Youth"]	["Columbia University", "Lincoln University"]
where is the carpathian mountain range located?	["Ukraine", "Europe", "Romania", "Czech Republic", "Poland", "Serbia", "Slovakia", "Hungary"]	["Europe"]
what is the name of the currency used in italy?	["Euro"]	["Euro"]
who was the leader of soviet union during wwii?	["Joseph Stalin"]	["Joseph Stalin"]
where was auschwitz concentration camp located?	["Poland"]	["Poland", "O\u015bwi\u0119cim", "Auschwitz-Birkenau State Museum"]
what countries were part of the spanish empire?	["Honduras", "Uruguay", "El Salvador", "Panama", "Equatorial Guinea", "Andorra", "Guatemala", "Puerto Rico", "Paraguay", "Belize"]	["Monarchy", "Republic", "Hereditary monarchy"]
who is the voice of eric cartman on south park?	["Trey Parker"]	["Trey Parker"]
what team does cristiano ronaldo play for 2011?	["Real Madrid C.F."]	["Real Madrid C.F.", "Manchester United F.C.", "Portugal national football team", "Sporting Clube de Portugal"]
what was the ancient egyptians spoken language?	["Egyptian Arabic"]	["Egyptian Arabic", "Egyptian language", "Coptic Language", "Sa'idi Arabic", "Languages of Egypt"]
what artistic style did henri rousseau work in?	["Post-Impressionism"]	["Paris"]
what nationality is taylor lautner jacob black?	["United States of America"]	["United States of America"]
who played bilbo in the fellowship of the ring?	["Ian Holm"]	["Martin Freeman", "Ian Holm", "Norman Bird"]
where is the arizona cardinals stadium located?	["Glendale"]	["University of Phoenix Stadium"]
who did australia fight in the first world war?	["United Kingdom", "United States of America", "Italy", "Russia", "France"]	["Empire of Japan", "Allies of World War I", "Nicholas II of Russia", "Franz Joseph I of Austria", "Count Franz Conrad von H\u00f6tzendorf", "Grand Duke Nicholas Nikolaevich of Russia", "French Third Republic", "German Empire", "Erich Ludendorff", "Douglas Haig, 1st Earl Haig", "Wilhelm II", "British Empire", "Woodrow Wilson", "Enver Pasha", "Ferdinand I of Bulgaria", "Charles I of Austria", "John J. Pershing", "Paul von Hindenburg", "Central Powers", "Antonio Salandra", "Georges Cl\u00e9menceau", "Ferdinand Foch", "Mustafa Kemal Atat\u00fcrk", "David Lloyd George", "H. H. Asquith", "Mehmed V", "Nikola Zhekov", "Raymond Poincar\u00e9", "Kingdom of Serbia", "Ferdinand I of Romania", "Vittorio Emanuele Orlando", "Luigi Cadorna"]
how many kids were there in the kennedy family?	["Robert F. Kennedy", "Ted Kennedy", "Rosemary Kennedy", "Kathleen Cavendish", "Patricia Kennedy Lawford", "Jean Kennedy Smith", "Eunice Kennedy Shriver", "Joseph P. Kennedy, Jr."]	["4"]
who was president after william henry harrison?	["John Tyler"]	["John Tyler"]
where to get a marriage license in long island?	["United States District Court for the Eastern District of New York"]	["South Station", "30th Street Station", "Pennsylvania Station", "Union Station"]
what is the name of the currency used in china?	["Renminbi"]	["Renminbi"]
which continents were part of the roman empire?	["Europe", "North Africa", "Middle East"]	["Europe", "North Africa", "Middle East"]
where did jennifer arnold go to medical school?	["United States of America"]	["University of California, Los Angeles", "University of Nairobi"]
what boarding school did mark zuckerberg go to?	["Phillips Exeter Academy"]	["Harvard University", "Phillips Exeter Academy", "Ardsley High School", "Mercy College"]
who was the vice president under ronald reagan?	["George H. W. Bush"]	["George H. W. Bush"]
what is the holy book of the buddhist religion?	["Amitabha Sutra", "Tibetan Buddhist canon", "Mah\u0101vastu", "\u0100gama", "Srimala Sutra", "Longchen Nyingthig", "Gang\u014dji Garan Engi", "Mahayana sutras", "Vimalakirti Sutra", "P\u0101li Canon"]	["P\u0101li Canon", "\u015ar\u012bm\u0101l\u0101dev\u012b Si\u1e43han\u0101da S\u016btra", "N\u012blakantha dh\u0101ran\u012b", "Chinese Buddhist canon", "Tibetan Buddhist canon", "\u0100gama", "Vimalakirti Sutra", "Gang\u014dji Garan Engi", "Longchen Nyingthig", "Amitabha Sutra", "Mahayana sutras", "Mah\u0101vastu"]
what did james polk do before he was president?	["United States Naval Academy"]	["Lawyer", "Politician", "Farmer"]
where do the appalachian mountains run through?	["Eastern United States"]	["North America"]
what concentration camp did anne frank died in?	["Bergen-Belsen concentration camp"]	["Bergen-Belsen concentration camp"]
which barcelona airport is closest to the port?	["Barcelona\u2013El Prat Airport"]	["Barcelona\u2013El Prat Airport"]
who was the prime minister of pakistan in 1999?	["Nawaz Sharif"]	["Liaquat Ali Khan", "Nawaz Sharif", "Zulfikar Ali Bhutto", "Yousaf Raza Gillani", "Shaukat Aziz", "Raja Pervaiz Ashraf"]
what is the capital city of spain wiki answers?	["Madrid"]	["Madrid"]
what type of government system does italy have?	["Constitutional republic", "Parliamentary republic", "Unitary state"]	["Constitutional republic", "Parliamentary republic", "Unitary republic"]
who plays ponyboy in that was then this is now?	["Pony Boy"]	["Saxophone"]
what kind of disease does montel williams have?	["Multiple sclerosis"]	["Multiple sclerosis"]
what kind of money should i take to costa rica?	["Costa Rican col\u00f3n"]	["Costa Rican col\u00f3n"]
where did drew brees go to college wikianswers?	["Purdue University"]	["Purdue University", "Stanford Graduate School of Business", "Westlake High School"]
what was queen elizabeth ii childhood nickname?	["Lillibet"]	["House of Windsor", "British Royal Family"]
where do the chicago white sox play home games?	["U.S. Cellular Field"]	["U.S. Cellular Field"]
where is the university of the rockies located?	["United States of America", "Colorado", "Colorado Springs"]	["United States of America", "Colorado", "Colorado Springs"]
what states does the sierra nevada run through?	["Nevada", "California"]	["California", "Nevada"]
what city in florida has the lowest crime rate?	["Melqu\u00edades Rafael Martinez"]	["Tallahassee"]
when was christopher columbus first expedition?	["1492 Conquest of Paradise"]	["Columbia", "Columbia University", "Columbia", "Columbia", "Columbus", "Columbia Station", "Columbus", "Columbus City", "Columbia", "Columbus", "District of Columbia", "Columbia Pictures", "Colombia", "Columbus", "Columbia Falls", "British Columbia", "Columbia", "Columbia County", "Columbia County", "Columbia County", "Columbia", "Columbia", "Columbus", "Columbia", "Genoa Cristoforo Colombo Airport", "Columbia County", "Columbia County", "Columbus", "Columbus", "Columbia City", "Columbus", "Columbia", "Columbia Heights", "Columbus", "Columbia", "Columbia", "Columbus", "Columbia", "Columbus Junction", "Columbus Grove", "Columbia", "Columbia", "Columbia", "Columbus Township", "Columbia", "Columbia County", "Columbus", "Columbia County", "Columbia", "Colombia", "Columbus", "Columbus", "Columbia Township", "Columbus", "Columbus", "Columbus", "Columbus", "Columbia City", "Columbus Township", "Columbus Township", "Columbia Township", "Columbia Township", "Space Shuttle Columbia", "Columbia", "Columbus Township", "Columbia", "Columbus", "Columbia Heights", "Columbia", "Columbia", "Columbus", "Colombo"]
what honor did agatha christie receive in 1971?	["Dame Commander of the Order of the British Empire"]	["Edgar Grand Master Award", "Anthony Award for Best Writer Of The Century", "Anthony Award for Best Series Of The Century"]
what are the major trading partners of germany?	["Madagascar", "Scotland", "Tuvalu", "Tanzania", "Nepal", "United States of America", "Antigua and Barbuda"]	["United States of America", "Algeria", "Afghanistan", "Albania"]
who was the first dictator of the soviet union?	["Joseph Stalin"]	["Leonid Brezhnev", "Joseph Stalin", "Vagit Alekperov", "Vyacheslav Molotov", "Vladimir Lenin", "Nikita Khrushchev", "Mikhail Gorbachev", "Konstantin Chernenko", "Yuri Andropov", "Georgy Malenkov", "Vladimir Ivashko"]
who was president in 1988 in the united states?	["Ronald Reagan"]	["Benjamin Harrison", "James Monroe", "William Henry Harrison", "James A. Garfield", "Franklin D. Roosevelt", "George Washington", "George Bush", "Gerald Ford", "John Quincy Adams", "Jimmy Carter", "William Howard Taft", "John F. Kennedy", "Abraham Lincoln", "Barack Obama", "Bill Clinton", "James Madison", "Ronald Reagan", "Thomas Jefferson", "Harry S. Truman", "Theodore Roosevelt", "James Buchanan", "Lyndon B. Johnson", "John Tyler", "James K. Polk", "Ulysses S. Grant", "Dwight D. Eisenhower", "George H. W. Bush", "Richard Nixon", "Woodrow Wilson", "Zachary Taylor", "Herbert Hoover", "Calvin Coolidge", "William McKinley", "John Adams", "Rutherford B. Hayes", "Chester A. Arthur", "Warren G. Harding", "Grover Cleveland", "Martin Van Buren", "Franklin Pierce", "Andrew Jackson", "Andrew Johnson", "Millard Fillmore"]
what city is the university of oregon state in?	["Eugene"]	["Oregon"]
who plays caesar flickerman in the hunger games?	["Art Conforti", "Karl Draconis", "Frank Mirelli", "Richard Cross", "Assemblyman Phillip Wingate", "Arthur Scolari", "Zack Lowman", "Steven Demarco", "Rick Pinzolo", "Frank Mosca"]	["Stanley Tucci"]
what area of science did sir isaac newton study?	["Mathematics", "Algebra"]	["Trinity College, Cambridge", "The King's School, Grantham"]
where did tony gonzalez play college basketball?	["University of California, Berkeley"]	["University of California, Berkeley"]
what is the name of the san francisco newspaper?	["The San Francisco Examiner", "California Star", "San Francisco Bay Guardian", "San Francisco Business Times", "San Francisco Bay Times", "San Francisco Chronicle", "Bay Area Reporter", "Sing Tao Daily", "AsianWeek", "San Francisco Call"]	["The San Francisco Examiner", "San Francisco Bay Guardian", "Street Sheet", "San Francisco Bay View", "Sing Tao Daily", "San Francisco Chronicle", "The Golden Era", "San Francisco Foghorn", "AsianWeek", "Bay Area Reporter", "San Francisco Daily", "San Francisco Bay Times", "Synapse", "San Francisco Call", "The Daily Alta California", "Free Society", "California Star", "San Francisco News-Call Bulletin Newspaper", "San Francisco Business Times"]
